,order_id,customer_id,product_id,quantity,order_date,product_name,category,price,name,age,gender,city,Total_Price
49,O00050,C0460,P022,4,2022-01-06,Tax,Home,185.33,Samuel,45,Female,East Shawnmouth,741.32
50,O00051,C0072,P092,4,2022-01-28,Coach,Electronics,588.3,Kayla,27,Male,North Jessicaview,2353.2
51,O00052,C0055,P033,5,2022-01-02,The,Footwear,666.87,Scott,25,Female,Austinmouth,3334.35
52,O00053,C0101,P025,1,2022-01-28,General,Accessories,576.6,Susan,25,Female,Rosaleschester,576.6
53,O00054,C0477,P051,2,2022-01-10,Part,Footwear,121.31,Nathan,27,Male,New Tiffany,242.62
54,O00055,C0235,P025,3,2022-01-12,General,Accessories,576.6,Alyssa,33,Female,Sandovalberg,1729.8000000000002
55,O00056,C0056,P097,4,2022-01-26,Away,Home,932.46,Sarah,64,Male,Christiantown,3729.84
56,O00057,C0024,P082,5,2022-01-22,West,Footwear,545.01,Amber,38,Male,Travisfurt,2725.05
57,O00058,C0064,P099,4,2022-01-11,So,Electronics,698.17,James,23,Female,Jefferyshire,2792.68
58,O00059,C0235,P085,5,2022-01-14,Really,Electronics,185.69,Alyssa,33,Female,Sandovalberg,928.45
59,O00060,C0490,P065,2,2022-01-24,Environmental,Electronics,38.36,Jennifer,41,Female,Brightville,76.72
60,O00061,C0494,P064,1,2022-01-04,Likely,Home,745.23,Kristi,49,Female,South Jamie,745.23
61,O00062,C0272,P095,1,2022-01-04,Program,Clothing,23.02,Destiny,58,Male,Pamelachester,23.02
62,O00063,C0284,P056,5,2022-01-28,While,Footwear,795.06,Robert,55,Male,Hoffmanberg,3975.2999999999997
63,O00064,C0248,P066,2,2022-01-25,Such,Accessories,572.04,Katherine,50,Male,Porterchester,1144.08
64,O00065,C0355,P075,2,2022-01-29,Some,Accessories,798.31,Christine,42,Female,Zunigastad,1596.62
65,O00066,C0375,P017,1,2022-01-02,Happen,Accessories,831.47,Eric,60,Female,North Jonathanview,831.47
66,O00067,C0199,P085,5,2022-01-01,Really,Electronics,185.69,Benjamin,58,Male,Mooreburgh,928.45
67,O00068,C0311,P042,5,2022-01-28,Find,Accessories,304.87,Nathaniel,29,Male,Amandamouth,1524.35
68,O00069,C0452,P050,4,2022-01-05,Operation,Accessories,626.12,Melinda,20,Male,Osbornefort,2504.48
69,O00070,C0312,P089,2,2022-01-22,Value,Accessories,464.7,Allison,39,Female,North Edward,929.4
70,O00071,C0141,P051,3,2022-01-21,Part,Footwear,121.31,Scott,26,Female,Samuelland,363.93
71,O00072,C0497,P038,4,2022-01-06,Black,Electronics,817.52,Susan,41,Male,Annaside,3270.08
72,O00073,C0413,P018,2,2022-01-11,Maybe,Accessories,965.2,Janet,61,Male,Brandiport,1930.4
73,O00074,C0212,P078,5,2022-01-12,Where,Accessories,723.64,Mackenzie,50,Male,New Brianna,3618.2
74,O00075,C0154,P090,5,2022-01-29,Perform,Electronics,947.55,Brittany,56,Female,West Jessica,4737.75
75,O00076,C0441,P041,5,2022-01-15,Behind,Footwear,465.37,Tyler,51,Male,East Shelly,2326.85
76,O00077,C0324,P028,2,2022-01-31,Work,Home,796.29,Lisa,47,Male,North Mariafort,1592.58
77,O00078,C0108,P080,3,2022-01-20,Organization,Footwear,642.94,William,50,Male,Jonathanport,1928.8200000000002
78,O00079,C0352,P045,2,2022-01-09,Compare,Footwear,236.05,Kimberly,50,Male,Camachoside,472.1
79,O00080,C0364,P084,2,2022-01-29,Pay,Home,348.97,Sean,39,Female,Fredbury,697.94
80,O00081,C0258,P070,3,2022-01-24,Country,Home,822.15,Paul,48,Female,East Amyton,2466.45
81,O00082,C0364,P015,3,2022-01-03,Strategy,Home,352.12,Sean,39,Female,Fredbury,1056.3600000000001
82,O00083,C0288,P062,5,2022-01-12,Program,Clothing,315.16,Chelsea,42,Male,Fieldsport,1575.8000000000002
83,O00084,C0293,P086,4,2022-01-27,Edge,Home,908.91,James,63,Female,Harperport,3635.64
84,O00085,C0346,P096,5,2022-01-11,Service,Footwear,872.76,Patrick,48,Male,Simsport,4363.8
85,O00086,C0147,P055,1,2022-01-06,According,Footwear,143.58,Tracy,49,Male,Jeremytown,143.58
86,O00087,C0268,P014,1,2022-01-04,Yes,Footwear,414.78,Gary,22,Female,Youngborough,414.78
87,O00088,C0196,P019,1,2022-01-13,Feeling,Accessories,128.68,Deanna,49,Female,Glassshire,128.68
88,O00089,C0344,P008,2,2022-01-13,Table,Clothing,810.83,Samuel,46,Male,Hayesshire,1621.66
89,O00090,C0137,P097,2,2022-01-31,Away,Home,932.46,Audrey,43,Female,Mooreside,1864.92
90,O00091,C0147,P088,3,2022-01-15,Trip,Electronics,403.85,Tracy,49,Male,Jeremytown,1211.5500000000002
91,O00092,C0075,P008,3,2022-01-09,Table,Clothing,810.83,David,48,Male,Robertchester,2432.4900000000002
92,O00093,C0105,P097,5,2022-01-27,Away,Home,932.46,Donald,25,Male,Gloriaton,4662.3
93,O00094,C0017,P046,4,2022-01-13,Around,Electronics,900.08,Desiree,39,Male,Moorestad,3600.32
94,O00095,C0053,P079,5,2022-01-23,Dream,Clothing,721.44,James,24,Male,Maysborough,3607.2000000000003
95,O00096,C0443,P029,5,2022-01-28,Believe,Electronics,205.62,David,42,Male,North Jaime,1028.1
96,O00097,C0200,P031,5,2022-01-16,Eat,Clothing,168.44,Tina,29,Male,Beasleyland,842.2
97,O00098,C0402,P090,3,2022-01-26,Perform,Electronics,947.55,Shawna,42,Female,Austinberg,2842.6499999999996
98,O00099,C0355,P086,1,2022-01-14,Edge,Home,908.91,Christine,42,Female,Zunigastad,908.91
99,O00100,C0184,P010,3,2022-02-13,Able,Home,683.1,Diane,20,Male,Port Kennethtown,2049.3
100,O00101,C0270,P029,2,2022-02-14,Believe,Electronics,205.62,Heather,49,Female,New James,411.24
101,O00102,C0267,P009,5,2022-02-26,Manage,Accessories,258.37,Steven,29,Female,Heatherborough,1291.85
102,O00103,C0082,P054,5,2022-02-22,Follow,Electronics,338.23,Rebecca,33,Female,Nunezborough,1691.15
103,O00104,C0275,P052,1,2022-02-11,List,Clothing,940.13,Benjamin,33,Female,Port Travis,940.13
104,O00105,C0179,P029,2,2022-02-18,Believe,Electronics,205.62,Jennifer,50,Female,Howardton,411.24
105,O00106,C0340,P043,3,2022-02-02,Force,Clothing,748.87,Daniel,52,Male,Garciaberg,2246.61
106,O00107,C0185,P038,2,2022-02-01,Black,Electronics,817.52,Jason,56,Male,West Jason,1635.04
107,O00108,C0487,P097,5,2022-02-24,Away,Home,932.46,Christina,62,Male,Rivasburgh,4662.3
108,O00109,C0272,P061,5,2022-02-09,Stage,Clothing,155.92,Destiny,58,Male,Pamelachester,779.5999999999999
109,O00110,C0422,P097,1,2022-02-07,Away,Home,932.46,Lisa,52,Female,Natalieview,932.46
110,O00111,C0059,P086,3,2022-02-20,Edge,Home,908.91,Erika,34,Female,East Sherri,2726.73
111,O00112,C0229,P031,5,2022-02-28,Eat,Clothing,168.44,Eric,39,Male,Melissafurt,842.2
112,O00113,C0471,P080,2,2022-02-25,Organization,Footwear,642.94,Wendy,56,Female,Craneport,1285.88
113,O00114,C0491,P006,3,2022-02-28,Keep,Electronics,990.01,Tyler,33,Female,East Samanthaborough,2970.0299999999997
114,O00115,C0196,P015,4,2022-02-28,Strategy,Home,352.12,Deanna,49,Female,Glassshire,1408.48
115,O00116,C0132,P070,3,2022-02-15,Country,Home,822.15,Sean,64,Male,Ryanborough,2466.45
116,O00117,C0013,P067,3,2022-02-27,Possible,Clothing,763.65,Mindy,53,Female,Leemouth,2290.95
117,O00118,C0264,P066,4,2022-02-08,Such,Accessories,572.04,Tracey,43,Female,North Lindafurt,2288.16
118,O00119,C0250,P006,3,2022-02-21,Keep,Electronics,990.01,Ralph,56,Male,Maddenfurt,2970.0299999999997
119,O00120,C0460,P084,2,2022-02-23,Pay,Home,348.97,Samuel,45,Female,East Shawnmouth,697.94
120,O00121,C0165,P066,1,2022-02-23,Such,Accessories,572.04,Jacob,19,Female,Matthewview,572.04
121,O00122,C0486,P013,2,2022-02-21,Drive,Electronics,474.22,Jasmine,22,Male,East Kristen,948.44
122,O00123,C0498,P099,5,2022-02-12,So,Electronics,698.17,Spencer,29,Female,Harrisside,3490.85
123,O00124,C0274,P001,1,2022-02-25,Stage,Clothing,534.93,Kevin,36,Female,East Benjamin,534.93
124,O00125,C0108,P086,2,2022-02-19,Edge,Home,908.91,William,50,Male,Jonathanport,1817.82
125,O00126,C0443,P088,4,2022-02-18,Trip,Electronics,403.85,David,42,Male,North Jaime,1615.4
126,O00127,C0428,P014,2,2022-02-24,Yes,Footwear,414.78,Robert,36,Male,Waltertown,829.56
127,O00128,C0276,P090,4,2022-02-20,Perform,Electronics,947.55,Angela,20,Male,Mcdonaldfurt,3790.2
128,O00129,C0332,P010,2,2022-02-07,Able,Home,683.1,Thomas,52,Male,Port Cassidy,1366.2
129,O00130,C0013,P059,3,2022-02-25,Network,Home,894.42,Mindy,53,Female,Leemouth,2683.2599999999998
130,O00131,C0020,P012,1,2022-02-24,Section,Footwear,597.66,Vickie,61,Male,New Eric,597.66
131,O00132,C0028,P023,3,2022-02-07,Seem,Footwear,71.16,Crystal,61,Male,Theodoreland,213.48
132,O00133,C0286,P010,5,2022-02-10,Able,Home,683.1,Brandon,37,Female,Richardshire,3415.5
133,O00134,C0421,P030,3,2022-02-15,Ask,Footwear,167.84,Michael,64,Female,New Abigailton,503.52
134,O00135,C0209,P050,4,2022-02-06,Operation,Accessories,626.12,Lucas,40,Male,Lake Brandon,2504.48
135,O00136,C0323,P052,4,2022-02-22,List,Clothing,940.13,Mitchell,38,Male,Port Deannaberg,3760.52
136,O00137,C0162,P003,4,2022-02-03,Number,Home,339.92,Jonathan,24,Male,New John,1359.68
137,O00138,C0345,P016,5,2022-02-06,Mind,Footwear,929.88,Brian,63,Male,New Jeffreyton,4649.4
138,O00139,C0004,P083,5,2022-02-06,Ready,Accessories,255.54,Sheri,60,Male,West Megan,1277.7
139,O00140,C0033,P097,5,2022-02-24,Away,Home,932.46,Rebekah,33,Female,South Toniland,4662.3
140,O00141,C0024,P090,1,2022-02-17,Perform,Electronics,947.55,Amber,38,Male,Travisfurt,947.55
141,O00142,C0184,P065,1,2022-02-04,Environmental,Electronics,38.36,Diane,20,Male,Port Kennethtown,38.36
142,O00143,C0149,P088,3,2022-02-13,Trip,Electronics,403.85,Matthew,49,Female,East Robertberg,1211.5500000000002
143,O00144,C0311,P012,3,2022-02-02,Section,Footwear,597.66,Nathaniel,29,Male,Amandamouth,1792.98
144,O00145,C0392,P057,4,2022-02-14,On,Accessories,621.97,Diamond,31,Male,Ashleyburgh,2487.88
145,O00146,C0203,P085,1,2022-02-09,Really,Electronics,185.69,Adrian,20,Male,West Jacqueline,185.69
146,O00147,C0243,P021,5,2022-02-18,Art,Electronics,938.65,Margaret,36,Male,Allenside,4693.25
147,O00148,C0113,P018,4,2022-02-09,Maybe,Accessories,965.2,Ryan,45,Male,North Thomashaven,3860.8
148,O00149,C0408,P070,3,2022-02-05,Country,Home,822.15,Zachary,60,Female,East Kellyfort,2466.45
149,O00150,C0492,P082,2,2022-02-06,West,Footwear,545.01,Douglas,19,Male,Jonathanport,1090.02
150,O00151,C0153,P087,3,2022-02-19,Body,Footwear,585.47,Marissa,40,Female,Ashleyfurt,1756.41
151,O00152,C0491,P002,5,2022-02-28,Least,Accessories,56.56,Tyler,33,Female,East Samanthaborough,282.8
152,O00153,C0448,P072,2,2022-02-09,Phone,Footwear,847.22,Jennifer,56,Male,New Robertville,1694.44
153,O00154,C0064,P006,1,2022-02-01,Keep,Electronics,990.01,James,23,Female,Jefferyshire,990.01
154,O00155,C0294,P077,4,2022-02-11,Government,Clothing,233.11,Jennifer,35,Male,Larryberg,932.44
155,O00156,C0276,P071,1,2022-02-15,Same,Electronics,115.08,Angela,20,Male,Mcdonaldfurt,115.08
156,O00157,C0157,P027,3,2022-02-23,Ahead,Clothing,144.07,Russell,60,Male,Port Heather,432.21
157,O00158,C0109,P053,5,2022-02-05,Be,Home,629.57,Richard,22,Male,Darrentown,3147.8500000000004
158,O00159,C0073,P021,2,2022-02-02,Art,Electronics,938.65,Mary,53,Male,West Richardborough,1877.3
159,O00160,C0114,P079,3,2022-02-05,Dream,Clothing,721.44,Chelsea,24,Male,Thomaschester,2164.32
160,O00161,C0100,P015,2,2022-02-11,Strategy,Home,352.12,Natalie,61,Male,East Earlfort,704.24
161,O00162,C0344,P073,1,2022-02-20,Second,Electronics,131.85,Samuel,46,Male,Hayesshire,131.85
162,O00163,C0436,P097,5,2022-02-02,Away,Home,932.46,Joseph,26,Female,West Charlesshire,4662.3
163,O00164,C0237,P083,5,2022-02-25,Ready,Accessories,255.54,Tamara,20,Male,West Davidburgh,1277.7
164,O00165,C0038,P038,1,2022-02-21,Black,Electronics,817.52,James,54,Female,Hollyhaven,817.52
165,O00166,C0129,P013,2,2022-02-20,Drive,Electronics,474.22,Christopher,18,Male,Mariamouth,948.44
166,O00167,C0372,P075,4,2022-02-27,Some,Accessories,798.31,Eduardo,57,Female,Hunterstad,3193.24
167,O00168,C0488,P043,3,2022-02-22,Force,Clothing,748.87,Jacob,21,Female,Jacobberg,2246.61
168,O00169,C0066,P086,2,2022-02-10,Edge,Home,908.91,Jason,21,Male,West Phillipbury,1817.82
169,O00170,C0052,P037,5,2022-02-16,Store,Home,395.48,Wendy,64,Male,Lake David,1977.4
170,O00171,C0036,P025,3,2022-02-26,General,Accessories,576.6,Ryan,61,Male,Lake Douglasville,1729.8000000000002
171,O00172,C0249,P058,3,2022-02-19,Job,Accessories,535.79,Brian,57,Male,Valeriehaven,1607.37
172,O00173,C0316,P085,3,2022-02-18,Really,Electronics,185.69,Rodney,55,Male,Francischester,557.0699999999999
173,O00174,C0187,P065,1,2022-03-19,Environmental,Electronics,38.36,Joel,25,Male,Lake Aliceburgh,38.36
174,O00175,C0340,P031,5,2022-03-05,Eat,Clothing,168.44,Daniel,52,Male,Garciaberg,842.2
175,O00176,C0351,P022,5,2022-03-19,Tax,Home,185.33,Christine,40,Male,Jasminborough,926.6500000000001
176,O00177,C0072,P058,2,2022-03-19,Job,Accessories,535.79,Kayla,27,Male,North Jessicaview,1071.58
177,O00178,C0092,P073,5,2022-03-12,Second,Electronics,131.85,Laurie,32,Male,West Gregory,659.25
178,O00179,C0338,P019,4,2022-03-26,Feeling,Accessories,128.68,James,63,Male,Davidberg,514.72
179,O00180,C0481,P046,1,2022-03-11,Around,Electronics,900.08,Caitlin,48,Male,Michaelville,900.08
180,O00181,C0113,P098,4,2022-03-31,Decision,Accessories,567.31,Ryan,45,Male,North Thomashaven,2269.24
181,O00182,C0119,P009,3,2022-03-14,Manage,Accessories,258.37,Sandra,50,Male,Jeremyland,775.11
182,O00183,C0190,P030,1,2022-03-06,Ask,Footwear,167.84,Lauren,54,Female,Isabellaton,167.84
183,O00184,C0343,P027,5,2022-03-01,Ahead,Clothing,144.07,Cheryl,41,Male,West Meganmouth,720.3499999999999
184,O00185,C0465,P047,4,2022-03-11,Standard,Footwear,386.97,Tyler,22,Male,New Crystalhaven,1547.88
185,O00186,C0241,P059,1,2022-03-08,Network,Home,894.42,William,43,Male,Berryside,894.42
186,O00187,C0021,P084,3,2022-03-26,Pay,Home,348.97,Caitlin,47,Male,South Mark,1046.91
187,O00188,C0053,P091,5,2022-03-08,Foot,Clothing,157.58,James,24,Male,Maysborough,787.9000000000001
188,O00189,C0325,P036,3,2022-03-23,News,Clothing,877.81,Tonya,50,Male,Chambersland,2633.43
189,O00190,C0297,P070,5,2022-03-24,Country,Home,822.15,Sarah,33,Male,East Michael,4110.75
190,O00191,C0090,P049,4,2022-03-21,Town,Electronics,906.94,Jill,58,Female,South Jacobville,3627.76
191,O00192,C0188,P076,1,2022-03-14,Amount,Electronics,154.17,Mark,44,Male,Port Tammyborough,154.17
192,O00193,C0265,P033,4,2022-03-09,The,Footwear,666.87,James,19,Female,North Adamton,2667.48
193,O00194,C0499,P029,5,2022-03-27,Believe,Electronics,205.62,Rachel,52,Male,Anthonymouth,1028.1
194,O00195,C0208,P046,3,2022-03-12,Around,Electronics,900.08,Brenda,45,Female,West Michellechester,2700.2400000000002
195,O00196,C0250,P062,5,2022-03-05,Program,Clothing,315.16,Ralph,56,Male,Maddenfurt,1575.8000000000002
196,O00197,C0004,P065,2,2022-03-22,Environmental,Electronics,38.36,Sheri,60,Male,West Megan,76.72
197,O00198,C0226,P022,2,2022-03-24,Tax,Home,185.33,Briana,22,Male,East Roberto,370.66
198,O00199,C0040,P066,3,2022-03-11,Such,Accessories,572.04,Wayne,38,Female,Catherineshire,1716.12
199,O00200,C0109,P020,2,2022-03-29,Light,Accessories,732.21,Richard,22,Male,Darrentown,1464.42
200,O00201,C0081,P047,5,2022-03-16,Standard,Footwear,386.97,Heidi,38,Female,Figueroaborough,1934.8500000000001
201,O00202,C0368,P016,2,2022-03-15,Mind,Footwear,929.88,Spencer,59,Male,South Phillipland,1859.76
202,O00203,C0213,P043,1,2022-03-15,Force,Clothing,748.87,Danielle,18,Female,Georgeton,748.87
203,O00204,C0247,P087,4,2022-03-12,Body,Footwear,585.47,Keith,58,Female,Port Lydiamouth,2341.88
204,O00205,C0246,P027,5,2022-03-25,Ahead,Clothing,144.07,Kevin,24,Male,East Joelshire,720.3499999999999
205,O00206,C0083,P083,4,2022-03-10,Ready,Accessories,255.54,Amanda,62,Female,Port Ronaldshire,1022.16
206,O00207,C0012,P032,1,2022-03-16,Most,Clothing,815.5,Todd,41,Male,Sarahchester,815.5
207,O00208,C0066,P074,5,2022-03-18,Add,Electronics,400.3,Jason,21,Male,West Phillipbury,2001.5
208,O00209,C0083,P018,5,2022-03-04,Maybe,Accessories,965.2,Amanda,62,Female,Port Ronaldshire,4826.0
209,O00210,C0021,P074,2,2022-03-06,Add,Electronics,400.3,Caitlin,47,Male,South Mark,800.6
210,O00211,C0029,P022,3,2022-03-21,Tax,Home,185.33,Denise,42,Female,Darrellshire,555.99
211,O00212,C0473,P024,5,2022-03-20,Night,Footwear,742.42,Paul,50,Female,Lynnview,3712.1
212,O00213,C0491,P052,5,2022-03-03,List,Clothing,940.13,Tyler,33,Female,East Samanthaborough,4700.65
213,O00214,C0497,P073,1,2022-03-27,Second,Electronics,131.85,Susan,41,Male,Annaside,131.85
214,O00215,C0450,P093,3,2022-03-09,Why,Clothing,508.36,Samuel,39,Male,New Jamesside,1525.08
215,O00216,C0485,P011,2,2022-03-28,Senior,Electronics,761.43,Cameron,18,Male,New Deborahfurt,1522.86
216,O00217,C0230,P078,4,2022-03-27,Where,Accessories,723.64,Kimberly,28,Female,East Robertport,2894.56
217,O00218,C0445,P062,2,2022-03-05,Program,Clothing,315.16,Charles,62,Male,Whiteville,630.32
218,O00219,C0113,P053,5,2022-03-29,Be,Home,629.57,Ryan,45,Male,North Thomashaven,3147.8500000000004
219,O00220,C0074,P075,2,2022-03-18,Some,Accessories,798.31,Lisa,31,Male,Pattersonton,1596.62
220,O00221,C0320,P085,5,2022-03-07,Really,Electronics,185.69,Lance,44,Male,Port Monicamouth,928.45
221,O00222,C0136,P022,3,2022-03-09,Tax,Home,185.33,David,22,Male,East Brandon,555.99
222,O00223,C0473,P059,5,2022-03-24,Network,Home,894.42,Paul,50,Female,Lynnview,4472.099999999999
223,O00224,C0303,P009,2,2022-03-29,Manage,Accessories,258.37,Jacob,31,Female,West Jorgefurt,516.74
224,O00225,C0194,P050,2,2022-03-21,Operation,Accessories,626.12,Adam,41,Female,East Danamouth,1252.24
225,O00226,C0056,P003,2,2022-03-03,Number,Home,339.92,Sarah,64,Male,Christiantown,679.84
226,O00227,C0268,P065,4,2022-03-24,Environmental,Electronics,38.36,Gary,22,Female,Youngborough,153.44
227,O00228,C0424,P020,5,2022-03-03,Light,Accessories,732.21,Stacey,33,Female,Garymouth,3661.05
228,O00229,C0050,P023,4,2022-03-29,Seem,Footwear,71.16,Sharon,37,Female,Paulton,284.64
229,O00230,C0462,P079,5,2022-03-01,Dream,Clothing,721.44,Jerry,64,Female,South Katrinastad,3607.2000000000003
230,O00231,C0020,P069,5,2022-03-28,Prepare,Accessories,345.37,Vickie,61,Male,New Eric,1726.85
231,O00232,C0386,P016,1,2022-03-17,Mind,Footwear,929.88,Brady,62,Male,South Jeffrey,929.88
232,O00233,C0247,P085,2,2022-03-21,Really,Electronics,185.69,Keith,58,Female,Port Lydiamouth,371.38
233,O00234,C0462,P078,5,2022-03-01,Where,Accessories,723.64,Jerry,64,Female,South Katrinastad,3618.2
234,O00235,C0424,P001,4,2022-03-27,Stage,Clothing,534.93,Stacey,33,Female,Garymouth,2139.72
235,O00236,C0268,P054,3,2022-03-19,Follow,Electronics,338.23,Gary,22,Female,Youngborough,1014.69
236,O00237,C0448,P006,5,2022-03-19,Keep,Electronics,990.01,Jennifer,56,Male,New Robertville,4950.05
237,O00238,C0220,P030,4,2022-03-13,Ask,Footwear,167.84,Joshua,49,Male,Rogersport,671.36
238,O00239,C0405,P099,4,2022-03-25,So,Electronics,698.17,Katherine,59,Female,East Mary,2792.68
239,O00240,C0180,P076,5,2022-03-19,Amount,Electronics,154.17,John,18,Male,Hollyland,770.8499999999999
240,O00241,C0051,P055,2,2022-03-07,According,Footwear,143.58,John,45,Female,Hamptonmouth,287.16
241,O00242,C0131,P062,2,2022-03-30,Program,Clothing,315.16,Melanie,54,Male,Woodfort,630.32
242,O00243,C0466,P011,3,2022-03-02,Senior,Electronics,761.43,Chloe,29,Female,Port Nataliemouth,2284.29
243,O00244,C0307,P070,4,2022-03-18,Country,Home,822.15,Erin,24,Male,West Nicoleview,3288.6
244,O00245,C0132,P025,1,2022-03-09,General,Accessories,576.6,Sean,64,Male,Ryanborough,576.6
245,O00246,C0364,P096,1,2022-03-18,Service,Footwear,872.76,Sean,39,Female,Fredbury,872.76
246,O00247,C0296,P067,1,2022-03-29,Possible,Clothing,763.65,Angela,52,Male,Port Cristianhaven,763.65
247,O00248,C0267,P001,4,2022-03-18,Stage,Clothing,534.93,Steven,29,Female,Heatherborough,2139.72
248,O00249,C0336,P027,3,2022-03-16,Ahead,Clothing,144.07,Anna,47,Female,West Carlosport,432.21
